player_id,player_name,season,cap_hit,cap_pct,contract_type,sign_status,sign_age,position,draft_year,draft_round
8471303,Alexander Edler,2019,6000000.0,7.4,STD,UFA,33,D,2004.0,3.0
8480384,Alexander True,2019,763333.0,1.0,ELC,,21,C,,
8481630,Alexander Yelesin,2019,925000.0,1.1,ELC,,23,D,,
8480074,Alexandre Texier,2019,897500.0,1.1,ELC,,18,LW,2017.0,2.0
8480281,Alexei Toropchenko,2019,775000.0,1.0,ELC,,19,RW,2017.0,4.0
8475195,Anders Nilsson,2019,2600000.0,3.2,STD,UFA,29,G,2009.0,3.0
8476960,Andreas Athanasiou,2019,3000000.0,3.8,STD,RFA,23,C,2012.0,4.0
8480158,Andreas Borgman,2019,700000.0,0.9,STD,RFA,23,D,,
8477971,Andreas Englund,2019,700000.0,0.9,STD,RFA,23,D,2014.0,2.0
8477341,Andreas Johnsson,2019,3400000.0,4.2,STD,RFA,24,LW,2013.0,7.0
8481642,Andrei Chibisov,2019,792500.0,1.0,ELC,,26,RW,,
8480830,Andrei Svechnikov,2019,925000.0,1.2,ELC,,18,RW,2018.0,1.0
8477205,Andrej Sustr,2019,1300000.0,1.6,STD,UFA,27,D,,
8471699,Andrew Cogliano,2019,3250000.0,4.1,STD,UFA,30,C,2005.0,1.0
8477202,Andrew Hammond,2019,650000.0,0.8,STD,UFA,30,G,,
8479369,Andrew Peeke,2019,916666.0,1.2,ELC,,21,D,2016.0,2.0
8476407,Andy Welinski,2019,690000.0,0.9,STD,RFA,25,D,2011.0,3.0
8478074,Anthony Angello,2019,833750.0,1.0,ELC,,22,RW,2014.0,5.0
8477407,Anthony Duclair,2019,1650000.0,2.0,STD,RFA,23,C,2013.0,3.0
8477511,Anthony Mantha,2019,3300000.0,4.2,STD,RFA,23,RW,2013.0,1.0
8474061,Anthony Peluso,2019,650000.0,0.8,STD,UFA,29,RW,2007.0,6.0
8476932,Anthony Stolarz,2019,761250.0,1.0,STD,RFA,24,G,2012.0,2.0
8477312,Antoine Bibeau,2019,675000.0,0.8,STD,RFA,23,G,2013.0,6.0
8474849,Antoine Roussel,2019,3000000.0,3.8,STD,UFA,28,LW,,
8477320,Anton Blidh,2019,700000.0,0.9,STD,RFA,24,LW,2013.0,6.0
8471418,Anton Khudobin,2019,2500000.0,3.1,STD,UFA,32,G,2004.0,7.0
8475210,Anton Rodin,2019,750000.0,0.9,STD,UFA,27,RW,2009.0,2.0
8481637,Anton Wedin,2019,925000.0,1.1,ELC,,26,LW,,
8477293,Antti Raanta,2019,4250000.0,5.3,STD,UFA,28,G,,
8480242,Arnaud Durandeau,2019,756667.0,0.9,ELC,,20,LW,2017.0,6.0
8481626,Arttu Ruotsalainen,2019,925000.0,1.1,ELC,,21,C,,
8481501,Artyom Zagidulin,2019,842500.0,1.0,ELC,,23,G,,
8477085,Ashton Sautner,2019,675000.0,0.8,STD,RFA,23,D,,
8478512,Austin Czarnik,2019,1250000.0,1.6,STD,UFA,25,C,,
8478040,Austin Poganski,2019,750000.0,0.9,ELC,,22,RW,2014.0,4.0
8479318,Auston Matthews,2019,11639000.0,14.3,STD,RFA,21,C,2016.0,1.0
8479536,Axel Jonsson-Fjallby,2019,860000.0,1.1,ELC,,20,LW,2016.0,5.0
8476624,Barclay Goodrow,2019,925000.0,1.1,STD,RFA,25,C,,
8480849,Barrett Hayton,2019,894167.0,1.1,ELC,,18,C,2018.0,1.0
8479416,Ben Gleason,2019,761667.0,1.0,ELC,,20,D,,
8477433,Ben Harpur,2019,725000.0,0.9,STD,RFA,23,D,2013.0,4.0
8480259,Ben Jones,2019,760000.0,1.0,ELC,,19,C,2017.0,7.0
8476043,Ben Street,2019,750000.0,0.9,STD,UFA,31,C,,
8476399,Blake Coleman,2019,1800000.0,2.3,STD,RFA,26,LW,2011.0,3.0
8471260,Blake Comeau,2019,2400000.0,3.0,STD,UFA,32,LW,2004.0,2.0
8481481,Blake Lizotte,2019,925000.0,1.2,ELC,,21,C,,
8471218,Blake Wheeler,2019,8250000.0,10.1,STD,UFA,32,RW,2004.0,1.0
8476922,Boo Nieves,2019,700000.0,0.9,STD,RFA,25,C,2012.0,2.0
8476432,Boone Jenner,2019,3750000.0,4.7,STD,RFA,25,C,2011.0,2.0
8476779,Brad Hunt,2019,700000.0,0.9,STD,UFA,30,D,,
8474089,Brad Malone,2019,700000.0,0.9,STD,UFA,30,C,2007.0,4.0
8470755,Brad Richardson,2019,1250000.0,1.6,STD,UFA,33,RW,2003.0,5.0
8481442,Brady Keeper,2019,925000.0,1.2,ELC,,22,D,,
8476869,Brady Skjei,2019,5250000.0,6.6,STD,RFA,24,D,2012.0,1.0
8480801,Brady Tkachuk,2019,925000.0,1.2,ELC,,18,LW,2018.0,1.0
8475869,Brandon Davidson,2019,650000.0,0.8,STD,UFA,27,D,2010.0,6.0
8479520,Brandon Duhaime,2019,925000.0,1.1,ELC,,21,RW,2016.0,4.0
8479542,Brandon Hagel,2019,880833.0,1.1,ELC,,20,LW,2016.0,6.0
8475430,Brandon Manning,2019,2250000.0,2.8,STD,UFA,28,D,,
8477986,Brandon Montour,2019,3387500.0,4.3,STD,RFA,24,D,2014.0,2.0
8479293,Brandon Tanev,2019,1150000.0,1.4,STD,RFA,26,LW,,
8475188,Brayden McNabb,2019,2500000.0,3.1,STD,UFA,26,D,2009.0,3.0
8470601,Braydon Coburn,2019,1700000.0,2.1,STD,UFA,34,D,2003.0,1.0
8476967,Brett Kulak,2019,1850000.0,2.3,STD,RFA,25,D,2012.0,4.0
8477488,Brett Pesce,2019,4025000.0,5.1,STD,RFA,22,D,2013.0,3.0
8478881,Brett Seney,2019,757500.0,1.0,ELC,,22,LW,2015.0,6.0
8470880,Brian Elliott,2019,2000000.0,2.5,STD,UFA,34,G,2003.0,9.0
8476808,Brian Flynn,2019,650000.0,0.8,STD,UFA,29,C,,
8476207,Brian Gibbons,2019,1000000.0,1.3,STD,UFA,30,C,,
8474873,Brian Lashoff,2019,700000.0,0.9,STD,UFA,28,D,,
8477314,Brian Pinho,2019,700000.0,0.9,STD,RFA,24,C,2013.0,6.0
8473565,Brian Strait,2019,675000.0,0.8,STD,UFA,30,D,2006.0,3.0
8475754,Brock Nelson,2019,6000000.0,7.4,STD,UFA,27,C,2010.0,1.0
8481479,Brogan Rafferty,2019,925000.0,1.2,ELC,,23,D,,
8468498,Brooks Orpik,2019,1000000.0,1.3,STD,UFA,37,D,2000.0,1.0
8473412,Bryan Little,2019,5291666.0,6.7,STD,UFA,29,C,2006.0,1.0
8475810,Bryan Rust,2019,3500000.0,4.4,STD,RFA,26,RW,2010.0,3.0
8477210,Buddy Robinson,2019,700000.0,0.9,STD,RFA,26,RW,,
8480083,C.J. Smith,2019,874125.0,1.1,STD,,23,LW,,
8478058,CJ Suess,2019,700000.0,0.9,STD,RFA,25,C,2014.0,5.0
8479984,Cal Foote,2019,925000.0,1.2,ELC,,19,D,2017.0,1.0
8479985,Cale Fleury,2019,771667.0,1.0,ELC,,19,D,2017.0,3.0
8480069,Cale Makar,2019,880833.0,1.1,ELC,,20,D,2017.0,1.0
