Player,Cap Hit,Term,Total,Date,Level,Cap %,POS,Sign Age,Sign Status,Sign Expiry,Structure,GM,Agent,Draft Year,Draft Round
Zemgus Girgensons,"$850,000",3yr,$2.55M,1-Jul-24,STD,1%,C,30,UFA,UFA,1-Way,Julien BriseBois,Paul Capizzano,2012,1
TJ Brodie,"$3,750,000",2yr,$7.50M,1-Jul-24,STD,4.30%,D,34,UFA,UFA,1-Way,Kyle Davidson,Paul Capizzano,2008,4
Mattias Janmark,"$1,450,000",3yr,$4.35M,1-Jul-24,STD,1.60%,C,31,UFA,UFA,1-Way,Jeff Jackson,Peter Wallen,2013,3
Ben Meyers,"$775,000",1yr,$775k,1-Jul-24,STD,0.90%,C,25,UFA,RFA,1-Way,Ron Francis,Daniel Plante,,
Jimmy Schuldt,"$800,000",1yr,$800k,1-Jul-24,STD,0.90%,D,29,UFA,UFA,2-Way,Mike Grier,Ben Hankinson,,
Jeff Skinner,"$3,000,000",1yr,$3.00M,1-Jul-24,STD,3.40%,C,32,UFA,UFA,1-Way,Jeff Jackson,Donald Meehan,2010,1
Colin Miller,"$1,500,000",2yr,$3.00M,1-Jul-24,STD,1.70%,D,31,UFA,UFA,1-Way,Kevin Cheveldayoff,Wade Arnott,2012,5
Parker Kelly,"$825,000",2yr,$1.65M,1-Jul-24,STD,0.90%,C,25,UFA,UFA,1-Way,Chris MacFarland,Allain Roy,,
Blake Lizotte,"$1,850,000",2yr,$3.70M,1-Jul-24,STD,2.10%,C,26,UFA,UFA,1-Way,Kyle Dubas,Daniel Plante,,
Colton White,"$775,000",2yr,$1.55M,1-Jul-24,STD,0.90%,D,27,UFA,UFA,2-Way,Tom Fitzgerald,Joseph Resnick,2015,4
Trevor Lewis,"$800,000",1yr,$800k,1-Jul-24,STD,0.90%,C,37,UFA,UFA,1-Way,Rob Blake,Wade Arnott,2006,1
Pheonix Copley,"$825,000",1yr,$825k,1-Jul-24,STD,0.90%,G,32,UFA,UFA,1-Way,Rob Blake,Gerry Johannson,,
Emil Lilleberg,"$800,000",2yr,$1.60M,1-Jul-24,STD,0.80%,D,23,RFA,RFA,1-Way,Julien BriseBois,Peter Wallen,2021,4
Jacob Middleton,"$4,350,000",4yr,$17.40M,1-Jul-24,STD,4.60%,D,28,UFA,UFA,1-Way,Bill Guerin,Joseph Resnick,2014,7
Jordan Oesterle,"$775,000",2yr,$1.55M,1-Jul-24,STD,0.90%,D,32,UFA,UFA,2-Way,Don Sweeney,Matt Federico,,
Sean Walker,"$3,600,000",5yr,$18.00M,1-Jul-24,STD,4.10%,D,29,UFA,UFA,1-Way,Eric Tulsky,Kurt Overhardt (KO),,
Juuse Saros,"$7,740,000",8yr,$61.92M,1-Jul-24,STD,8.10%,G,29,UFA,UFA,1-Way,Barry Trotz,Kevin Epp,2013,4
Alexandre Carrier,"$3,750,000",3yr,$11.25M,1-Jul-24,STD,4.30%,D,27,UFA,UFA,1-Way,Barry Trotz,Philippe Lecavalier,2015,4
Christian Fischer,"$1,125,000",1yr,$1.13M,1-Jul-24,STD,1.30%,RW,27,UFA,UFA,1-Way,Steve Yzerman,Craig Oster,2015,2
Vincent Desharnais,"$2,000,000",2yr,$4.00M,1-Jul-24,STD,2.30%,D,28,UFA,UFA,1-Way,Patrik Allvin,Philippe Lecavalier,2016,7
Shayne Gostisbehere,"$3,200,000",3yr,$9.60M,1-Jul-24,STD,3.60%,D,31,UFA,UFA,1-Way,Eric Tulsky,Marc Levine,2012,3
Max Jones,"$1,000,000",2yr,$2.00M,1-Jul-24,STD,1.10%,LW,26,UFA,UFA,1-Way,Don Sweeney,Kurt Overhardt,2016,1
Riley Tufte,"$775,000",1yr,$775k,1-Jul-24,STD,0.90%,LW,26,UFA,UFA,1-Way,Don Sweeney,Ben Hankinson,2016,1
Kaapo Kahkonen,"$1,000,000",1yr,$1.00M,1-Jul-24,STD,1.10%,G,27,UFA,UFA,1-Way,Kevin Cheveldayoff,Andy Scott,2014,4
Alexander Wennberg,"$5,000,000",2yr,$10.00M,1-Jul-24,STD,5.70%,C,29,UFA,UFA,1-Way,Mike Grier,Pat Brisson,2013,1
Juraj Slafkovský,"$7,600,000",8yr,$60.80M,1-Jul-24,STD,8%,RW,20,RFA,UFA,1-Way,Kent Hughes,Gerry Johannson,2022,1
Jeremy Davies,"$775,000",1yr,$775k,1-Jul-24,STD,0.90%,D,27,UFA,UFA,2-Way,Steve Staios,Ian Pulver,2016,7
Billy Sweezey,"$775,000",2yr,$1.55M,1-Jul-24,STD,0.90%,D,28,UFA,UFA,2-Way,Don Sweeney,Peter Fish,,
Chase Bradley,"$872,500",2yr,$1.75M,1-Jul-24,ELC,1%,LW,22,,RFA,2-Way,Chris MacFarland,Peter Fish,2020,7
Nils Lundkvist,"$1,250,000",1yr,$1.25M,1-Jul-24,STD,1.40%,D,23,UFA,RFA,1-Way,Jim Nill,Claude Lemieux,2018,1
Emil Bemstrom,"$775,000",1yr,$775k,1-Jul-24,STD,0.90%,C,25,UFA,UFA,1-Way,Kyle Dubas,Claude Lemieux,2017,4
Nathan Clurman,"$775,000",1yr,$775k,1-Jul-24,STD,0.90%,D,26,UFA,UFA,2-Way,Kyle Dubas,Matt Federico,2016,6
Noel Hoefenmayer,"$775,000",1yr,$775k,1-Jul-24,STD,0.90%,D,25,RFA,UFA,2-Way,Jeff Jackson,Allain Roy,2017,4
Corey Perry,"$1,150,000",1yr,$1.15M,1-Jul-24,STD,1.30%,RW,39,UFA,UFA,1-Way,Jeff Jackson,Patrick Morris,2003,1
David Perron,"$4,000,000",2yr,$8.00M,1-Jul-24,STD,4.50%,LW,36,UFA,UFA,1-Way,Steve Staios,Allan Walsh,2007,1
Stefan Noesen,"$2,750,000",3yr,$8.25M,1-Jul-24,STD,3.10%,RW,31,UFA,UFA,1-Way,Tom Fitzgerald,Wade Arnott,2011,1
