trade_id,year,team_1,team_2,side_1_assets,side_2_assets,side_1_value,side_2_value,imbalance,abs_imbalance,side_1_picks,side_1_players,side_2_picks,side_2_players
323,2023,Stars,Predators,2,1,1422853.271324851,957446.8085106383,465406.4628142128,465406.4628142128,2,0,1,0
324,2023,Kraken,Flames,1,3,-193952.32564824223,3086629.674766622,-3280582.000414864,3280582.000414864,0,1,3,0
325,2023,Coyotes,Unknown,0,4,0.0,4049837.241374023,-4049837.241374023,4049837.241374023,0,0,3,1
326,2023,Predators,Lightning,1,6,-863408.9068767984,6235980.827850038,-7099389.734726837,7099389.734726837,0,1,5,1
327,2023,Ducks,Wild,1,1,-538953.7390907333,957446.8085106383,-1496400.5476013715,1496400.5476013715,0,1,1,0
328,2023,Sabres,Erik Portillo to Kings,0,1,0.0,957446.8085106383,-957446.8085106383,957446.8085106383,0,0,1,0
329,2023,Flyers,Rangers,1,1,418692.2947726676,957446.8085106383,-538754.5137379707,538754.5137379707,0,1,1,0
330,2023,Coyotes,Oilers,2,2,1237962.7960399033,1184897.718310554,53065.07772934926,53065.07772934926,0,2,1,1
331,2023,Canucks,Maple Leafs,1,1,-619516.3935067852,957446.8085106383,-1576963.2020174235,1576963.2020174235,0,1,1,0
332,2023,Penguins,Devils,1,2,-320270.6746524592,1336735.1452507903,-1657005.8199032494,1657005.8199032494,0,1,1,1
333,2023,Rangers,Avalanche,1,3,0.0,2903265.710044532,-2903265.710044532,2903265.710044532,0,1,3,0
334,2023,Coyotes,Stars,1,0,0.0,0.0,0.0,0.0,0,1,0,0
335,2023,Sharks,Hurricanes,2,3,633606.0475815035,1574047.219255665,-940441.1716741616,940441.1716741616,0,2,1,2
336,2023,Flyers,Panthers,4,2,526362.781192251,1134521.2405706986,-608158.4593784476,608158.4593784476,1,3,1,1
337,2023,Hurricanes,Sharks,1,2,957446.8085106383,2099720.246010638,-1142273.4374999995,1142273.4374999995,1,0,2,0
338,2023,Canucks,Red Wings,1,2,1546195.2164316922,248229.3415827019,1297965.8748489902,1297965.8748489902,1,0,1,1
339,2023,Canadiens,Penguins,2,2,-307487.3945751847,2254966.0704233954,-2562453.46499858,2562453.46499858,0,2,1,1
340,2023,Kraken,Jets,1,1,176843.9674839195,1142273.4374999998,-965429.4700160803,965429.4700160803,0,1,1,0
341,2023,Predators,Lightning,1,6,-863408.9068767984,6235980.827850038,-7099389.734726837,7099389.734726837,0,1,5,1
342,2023,Red Wings,Wild,1,1,751900.3390028375,1142273.4374999998,-390373.0984971622,390373.0984971622,0,1,1,0
343,2023,Canucks,Rangers,1,1,718028.326409075,1142273.4374999998,-424245.1110909248,424245.1110909248,0,1,1,0
344,2023,Flyers,Oilers,1,1,2238494.2738131667,1142273.4374999998,1096220.836313167,1096220.836313167,0,1,1,0
345,2023,Predators,Maple Leafs,1,1,1142273.4374999998,1142273.4374999998,0.0,0.0,1,0,1,0
346,2023,Kraken,Avalanche,1,1,-1660118.4128818016,1142273.4374999998,-2802391.8503818014,2802391.8503818014,0,1,1,0
347,2023,Canadiens,Golden Knights,1,1,1142273.4374999998,1142273.4374999998,0.0,0.0,1,0,1,0
348,2023,Sharks,Blue Jackets,1,1,988372.0930232557,988372.0930232557,0.0,0.0,1,0,1,0
349,2023,Hurricanes,Canucks,2,1,485955.9663471413,988372.0930232557,-502416.1266761144,502416.1266761144,0,2,1,0
350,2023,Canadiens,Flames,1,4,-274419.062109737,5645038.759689922,-5919457.821799659,5919457.821799659,0,1,3,1
351,2023,Predators,Lightning,1,5,-863408.9068767984,6235980.827850038,-7099389.734726837,7099389.734726837,0,1,5,0
352,2023,Jets,Rangers,2,2,-1024640.5373365654,1760550.1500746715,-2785190.687411237,2785190.687411237,1,1,1,1
353,2023,Rangers,Oilers,0,1,0.0,988372.0930232557,-988372.0930232557,988372.0930232557,0,0,1,0
